課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
5-2,9.        ,抗議,kàngyì,V,to protest against,biểu tình phản đối,เพื่อประท้วงต่อต้าน,ကန့်ကွက်ရန်,に対して抗議する,항의하다,protestar contra,memprotes,4
5-2,10.     ,地價,dìjià,N,land prices,giá đất,ราคาที่ดิน,မြေဈေး,地価,토지 가격,precios de la tierra,harga tanah,4
5-2,11.     ,房價,fángjià,N,housing prices,giá nhà,ราคาที่อยู่อาศัย,အိမ်ရာစျေးနှုန်းများ,住宅価格,주택 가격,precios de la vivienda,harga perumahan,4
5-2,12.     ,高漲,gāozhǎng,Vs,to (upward) surge,tăng vọt,ถึง (ขึ้น) กระชาก,လှိုင်းအတက်(အထက်)သို့,（上向きに）急上昇する,(상향) 급등하다,a (hacia arriba) oleada,(ke atas) melonjak,4
5-2,13.     ,造成,zàochéng,Vpt,"to cause, produce, make","gây ra, tạo ra","ทำให้เกิด, ผลิต, ทำ",ဖြစ်ပေါ်စေရန်၊ ထုတ်လုပ်ရန်,引き起こす、生み出す、作る,"일으키다, 생산하다, 만들다","causar, producir, hacer","menyebabkan, menghasilkan, membuat",4
5-2,14.     ,統計,tǒngjì,N,statistics,số liệu thống kê,สถิติ,စာရင်းဇယား,統計,통계,estadística,statistik,4
5-2,15.     ,窮忙,qióngmáng,Vs,busy doing things without achieving anything,bận rộn mà không đạt được kết quả gì,ยุ่งอยู่กับการทำสิ่งต่าง ๆ โดยไม่ได้อะไรเลย,ဘာတစ်ခုမှ မအောင်မြင်ဘဲနဲ့ အလုပ်ရှုပ်နေတယ်။,何も達成せずに何かをするのに忙しい,아무것도 이루지 못한 채 일하느라 바쁘다,ocupado haciendo cosas sin lograr nada,sibuk melakukan sesuatu tanpa mencapai apa pun,4
5-2,16.     ,全球,quánqiú,N,"global, worldwide",toàn cầu,ทั่วโลกทั่วโลก,ကမ္ဘာလုံးဆိုင်ရာ၊ ကမ္ဘာအနှံ့,グローバルな、世界中の,"글로벌, 전세계","global, mundial","global, mendunia",4
5-2,17.     ,景氣,jǐngqì,Vs,"prosperous, booming, economic conditions","thịnh vượng, bùng nổ, tình hình kinh tế",ภาวะเศรษฐกิจที่เจริญรุ่งเรืองเฟื่องฟู,ချမ်းသာ၊ ကြီးပွားတိုးတက်၊ စီးပွားရေးအခြေအနေ,繁栄、好景気、経済状況,"번영하는, 호황을 누리는, 경제 상황",condiciones económicas prósperas y en auge,"kondisi perekonomian yang makmur, booming",4
5-2,18.     ,施行,shīxíng,V,"to implement, put into effect","thực hiện, áp dụng","นำไปปฏิบัติ, นำไปปฏิบัติ",အကောင်အထည်ဖော်ရန်၊ အကောင်အထည်ဖော်ရန်,実装する、実施する,"구현하다, 시행하다","implementar, poner en práctica","melaksanakan, diberlakukan",4
5-2,19.     ,薪資,xīnzī,N,"pay, salary, wages","lương, tiền lương",ค่าจ้างเงินเดือนค่าจ้าง,လစာ၊ လစာ၊ လုပ်ခ,給料、給与、賃金,"급여, 월급, 임금","paga, sueldo, salario","gaji, gaji, upah",4
5-2,20.     ,多年,duōnián,N,"for many years, for so long","nhiều năm, lâu nay",เป็นเวลาหลายปีเป็นเวลานานมาก,နှစ်ပေါင်းများစွာ၊ ဒီလောက်ကြာတယ်။,何年もの間、とても長い間,"수년 동안, 오랫동안","durante muchos años, durante tanto tiempo","selama bertahun-tahun, begitu lama",4
5-2,21.     ,未,wèi,Adv,not yet (formal),vẫn chưa (trang trọng),ยังไม่ได้ (เป็นทางการ),မဖြစ်သေးပါဘူး (တရားဝင်),まだ（正式には）,아직은 (공식적으로),todavía no (formal),belum (resmi),4
5-2,22.     ,調高,tiáogāo,V,to adjust upward,điều chỉnh tăng lên,เพื่อปรับขึ้น,အထက်သို့ချိန်ညှိရန်,上向きに調整する,위쪽으로 조정,ajustar hacia arriba,menyesuaikan ke atas,4
5-2,23.     ,裁員,cáiyuán,Vi,to lay off,sa thải,ที่จะเลิกจ้าง,ချွတ်ဖို့,解雇する,해고하다,despedir,memberhentikan,4
5-2,24.     ,觀察,guānchá,V,"to observe, note","quan sát, ghi nhận",สังเกตสังเกต,စောင့်ကြည့်ရန်၊ မှတ်သားရန်,観察する、注意する,"관찰하다, 메모하다","observar, notar","mengamati, perhatikan",4
5-2,25.     ,彩券,cǎiquàn,N,lottery,xổ số,ลอตเตอรี,ထီ,宝くじ,운,lotería,lotere,4
5-2,26.     ,中獎,zhòngjiǎng,Vp-sep,"to win (a prize or lottery), to hit a jackpot","trúng (giải, số)",เพื่อชนะ (รางวัลหรือลอตเตอรี) เพื่อแจ็กพอต,ထီပေါက်ရန် (ဆု သို့မဟုတ် ထီ) ထီပေါက်ရန်,（賞品や宝くじに）勝つ、大当たりを当てる,"(상이나 복권에) 당첨되다, 대박을 터뜨리다","ganar (un premio o lotería), ganar un premio mayor","memenangkan (hadiah atau lotere), mendapatkan jackpot",4
5-2,27.     ,做夢,zuòmèng,V-sep,to dream,"mơ mộng, mơ tưởng",ที่จะฝัน,အိပ်မက်မက်ဖို့,夢を見る,꿈을 꾸다,soñar,bermimpi,4
5-2,28.     ,發財,fācái,Vp-sep,to strike it rich,phát tài,เพื่อทำให้มันรวย,ချမ်းသာကြပါစေ,一攫千金を狙う,부자가 되도록,hacerse rico,menjadikannya kaya,4
5-2,29.     ,臉色,liǎnsè,N,countenance (mood shown on face),sắc mặt,สีหน้า (อารมณ์ที่แสดงบนใบหน้า),မျက်နှာပုံပန်းသဏ္ဍာန် (မျက်နှာတွင် ပေါ်နေသော ခံစားချက်),表情（気分が顔に現れる）,표정(얼굴에 나타나는 기분),semblante (estado de ánimo mostrado en la cara),wajah (suasana hati yang ditunjukkan pada wajah),4
5-2,30.     ,報導,bàodǎo,N,"report, article, story (news)","bài báo, tin tức",รายงาน บทความ เรื่องราว (ข่าว),အစီရင်ခံစာ၊ ဆောင်းပါး၊ ဇာတ်လမ်း (သတင်း),レポート、記事、ストーリー（ニュース）,"보고서, 기사, 기사(뉴스)","informe, artículo, historia (noticia)","laporan, artikel, cerita (berita)",4
5-2,31.     ,指出,zhǐchū,V,"to indicate, point out","chỉ ra, nêu rõ",เพื่อบ่งชี้ชี้ให้เห็น,ထောက်ပြရန်၊ ထောက်ပြရန်,示す、指摘する,"나타내다, 지적하다","indicar, señalar","menunjukkan, tunjukkan",4
5-2,32.     ,創業,chuàngyè,Vi,to set up a business,"lập nghiệp, mở doanh nghiệp",เพื่อจัดตั้งธุรกิจ,လုပ်ငန်းတစ်ခုထူထောင်ရန်,ビジネスを設立する,사업을 시작하기 위해,montar un negocio,mendirikan bisnis,4
5-2,33.     ,餐飲業,cānyǐnyè,N,food and beverage industry,ngành dịch vụ ăn uống,อุตสาหกรรมอาหารและเครื่องดื่ม,အစားအသောက်နှင့် အဖျော်ယမကာလုပ်ငန်း,飲食業界,식품 및 음료 산업,industria de alimentos y bebidas,industri makanan dan minuman,4
5-2,34.     ,人生,rénshēng,N,life,cuộc sống,ชีวิต (chiwit),ဘဝ (ba wa),生活 (seikatsu),생활 (saenghwal),vida,kehidupan,4
5-2,35.     ,及,jí,Conj,and (formal),và (trang trọng),และ (เป็นทางการ),နှင့် (တရားဝင်),そして（正式な）,그리고 (공식적으로),y (formal),dan (formal),4
5-2,36.     ,挑戰,tiǎozhàn,N,challenge,thách thức,ท้าทาย,စိန်ခေါ်မှု,チャレンジ,도전,desafío,tantangan,4
5-2,37.     ,培養,péiyǎng,V,"to cultivate, train, foster","bồi dưỡng, đào tạo",เพื่อฝึกฝนฝึกฝนอุปถัมภ์,ပြုစုပျိုးထောင်ရန်၊ လေ့ကျင့်ရန်၊ မွေးစားရန်,育てる、訓練する、育てる,"기르다, 훈련하다, 육성하다","cultivar, formar, fomentar","mengolah, melatih, membina",4
5-2,38.     ,實力,shílì,N,strength (not physical strength),sức mạnh (không phải sức lực),ความแข็งแกร่ง (ไม่ใช่ความแข็งแกร่งทางกายภาพ),ခွန်အား (ကာယဗလ)၊,体力（体力ではありません）,힘 (육체적인 힘이 아님),fuerza (no fuerza física),kekuatan (bukan kekuatan fisik),4
5-2,39.     ,等待,děngdài,V,"to wait for, await","chờ đợi, mong đợi",รอรอ,စောင့်ဆိုင်းရန်၊ စောင့်ဆိုင်းရန်,待つ、待つ,"기다리다, 기다리다","esperar, esperar","menunggu, menunggu",4
5-2,40.     ,擁有,yǒngyǒu,Vst,"to have as one’s own, possess",sở hữu,มีเป็นของตนเองมีไว้ครอบครอง,ပိုင်ဆိုင်ရန်၊ ပိုင်ဆိုင်ရန်,自分のものとして持つ、所有する,"자신의 것으로 가지다, 소유하다","tener como propio, poseer","memiliki sebagai miliknya, memiliki",4
5-2,41.     ,中國大陸,Zhōngguó Dàlù,,Mainland China,Trung Quốc đại lục,จีนแผ่นดินใหญ่,တရုတ်ပြည်မကြီး,中国本土,중국 본토,China continental,Tiongkok Daratan,4
5-2,42.    .,存不了,cúnbùliǎo,,can't save (money),không thể tiết kiệm (tiền),ไม่สามารถบันทึก (เงิน),(ငွေ) မကယ်နိုင်၊,（お金を）貯めることができない,(돈)을 저축할 수 없다,no puedo ahorrar (dinero),tidak dapat menyimpan (uang),4
5-2,43.    ,無殼蝸牛,wúké guāniú,,"""snails without shells"" (people who cannot afford to buy their own home)","""ốc sên không vỏ"" (người không đủ khả năng mua nhà)",“หอยทากไม่มีเปลือก” (คนไม่มีเงินซื้อบ้านเป็นของตัวเอง),"""အခွံမပါသော ခရုများ"" (မိမိတို့အိမ်ဝယ်ရန် မတတ်နိုင်သူများ)",「殻のないカタツムリ」（マイホームを買う余裕がない人々）,"""껍질 없는 달팽이""(자기 집을 살 여유가 없는 사람들)","""caracoles sin concha"" (personas que no pueden permitirse el lujo de comprar su propia casa)","""siput tanpa cangkang"" (orang yang tidak mampu membeli rumah sendiri)",4
5-2,44.   ,貧富不均,pínfù bùjūn,,"gap between the rich and the poor, unequal distribution of wealth","khoảng cách giàu nghèo, phân phối của cải không đồng đều",ช่องว่างระหว่างคนรวยกับคนจน การกระจายความมั่งคั่งที่ไม่เท่าเทียมกัน,ချမ်းသာသူနှင့် ဆင်းရဲသူကြား ကွာဟချက်၊ စည်းစိမ်ဥစ္စာ ခွဲဝေမှု မညီမျှခြင်း။,富裕層と貧困層の間の格差、富の不平等な分配,"빈부격차, 불평등한 부의 분배","brecha entre ricos y pobres, distribución desigual de la riqueza","kesenjangan antara si kaya dan si miskin, distribusi kekayaan yang tidak merata",4
5-2,45.     ,苦哈哈,kǔ hāhā,,"bitter life, very poorly",cuộc sống khổ cực,ชีวิตที่ขมขื่นแย่มาก,ခါးသီးသောဘဝ၊ အလွန်ညံ့ဖျင်းသည်။,苦い人生、とても貧しい,"쓰라린 삶, 아주 가난해","vida amarga, muy mal","kehidupan yang pahit, sangat buruk",4
5-2,46.    .,另謀發展,lìngmóu fāzhǎn,,to seek opportunities elsewhere,tìm kiếm cơ hội ở nơi khác,เพื่อแสวงหาโอกาสที่อื่น,တခြားနေရာတွေမှာ အခွင့်အလမ်းတွေရှာတယ်။,他の場所で機会を探す,다른 곳에서 기회를 찾으려고,buscar oportunidades en otros lugares,mencari peluang di tempat lain,4
5-2,47.     ,恨不得,hènbùdé,,"to be dying to, desperately ","rất muốn, thiết tha",ที่จะตายอย่างสิ้นหวัง,သေခါနီးမှ မနားတမ်း,死にたくなる、必死に,"필사적으로, 필사적으로","estar muriendo, desesperadamente","sangat ingin, dengan putus asa",4
